id,program_id,peo
200,59,"Exhibit leadership, teamwork, and commitment to their respective local or global organizations."
201,60,"Analyze complex problems, and identify and define the computing requirements needed to design an appropriate solution."
202,60,Apply computing and other knowledge domains to address real-world problems.
203,60,Design and develop computing solutions using a system-level perspective and utilize modern computing tools.
204,61,Pursue a Career in Criminology or Law Enforcement;
205,61,Demonstrate Professionalism and Competence in Criminological Practices;
206,61,Engage in Lifelong Learning and Research in Criminology; and
207,61,"Exhibit Leadership, Teamwork, and Commitment in Criminal Justice Organizations."
208,62,Pursue a Career in Criminology or Law Enforcement;
209,62,Demonstrate Professionalism and Competence in Criminological Practices;
210,62,Engage in Lifelong Learning and Research in Criminology; and
211,62,"Exhibit Leadership, Teamwork, and Commitment in Criminal Justice Organizations."
212,63,Pursue a Career in Criminology or Law Enforcement;
213,63,Demonstrate Professionalism and Competence in Criminological Practices;
214,63,Engage in Lifelong Learning and Research in Criminology; and
215,63,"Exhibit Leadership, Teamwork, and Commitment in Criminal Justice Organizations."
216,64,"Graduates shall have effective communication and teamwork skills, creativity and critical thinking;"
217,64,Graduates shall have skills and capacities to apply theories in various disciplines in accordance with high standards of ethics;
218,64,Graduates shall become successful professionals serving local and international communities; and
219,64,Graduates shall have lifelong learning skills to facilitate changes in themselves and in their society.
220,65,Be effective in Engineering design and the practical application of engineering theory in accordance with high standards of ethics;
221,65,Be effective in communication skills and exhibits teamwork;
222,65,"Be successfully employed or accepted into graduate programs and serve their communities, whether locally, nationally, or globally; and"
223,65,"Be successful designer, manager, planner, and or entrepreneur in the practice of civil engineering profession serving local international or global communities."
224,66,Be effective in Engineering design and the practical application of engineering theory in accordance with high standards of ethics;
225,66,Be effective in communication skills and exhibits teamwork;
226,66,"Be successfully employed or accepted into graduate programs and serve their communities, whether locally, nationally, or globally; and"
227,66,"Be successful designer, manager, planner, and or entrepreneur in the practice of civil engineering profession serving local international or global communities."
228,67,Be effective in Engineering design and the practical application of engineering theory in accordance with high standards of ethics;
229,67,Be effective in communication skills and exhibits teamwork;
230,67,"Be successfully employed or accepted into graduate programs and serve their communities, whether locally, nationally, or globally; and"
231,67,"Be successful designer, manager, planner, and or entrepreneur in the practice of civil engineering profession serving local international or global communities."
232,68,Be effective in Engineering design and the practical application of engineering theory in accordance with high standards of ethics;
233,68,Be effective in communication skills and exhibits teamwork;
234,68,"Be successfully employed or accepted into graduate programs and serve their communities, whether locally, nationally, or globally; and"
235,68,"Be successful designer, manager, planner, and or entrepreneur in the practice of civil engineering profession serving local international or global communities."
236,69,Be employed in the entertainment and multimedia computing industry or established a technology startup company;
237,69,"Demonstrate professionalism, competence and innovativeness in designing game, animation, and multimedia products;"
238,69,Embark in lifelong learning or research to attune to the continuous innovation in the entrainment and multimedia computing profession; and
239,69,"Exhibit leadership, teamwork, and commitment to their respective local or global organizations."
240,70,Be employed in the entertainment and multimedia computing industry or established a technology startup company;
241,70,"Demonstrate professionalism, competence and innovativeness in designing game, animation, and multimedia products;"
242,70,Embark in lifelong learning or research to attune to the continuous innovation in the entrainment and multimedia computing profession; and
243,70,"Exhibit leadership, teamwork, and commitment to their respective local or global organizations."
244,71,"Graduates shall have effective communication and teamwork skills, creativity and critical thinking;"
245,71,Graduates shall have skills and capacities to apply theories in various disciplines in accordance with high standards of ethics;
246,71,Graduates shall become successful professionals serving local and international communities; and
247,71,Graduates shall have lifelong learning skills to facilitate changes in themselves and in their society.
248,72,"Graduates shall have effective communication and teamwork skills, creativity and critical thinking;"
249,72,Graduates shall have skills and capacities to apply theories in various disciplines in accordance with high standards of ethics;
250,72,Graduates shall become successful professionals serving local and international communities; and
251,72,Graduates shall have lifelong learning skills to facilitate changes in themselves and in their society.
252,73,Be effective in Engineering design and the practical application of engineering theory in accordance with high standards of ethics;
253,73,Be effective in communication skills and exhibits teamwork;
254,73,"Be successfully employed or accepted into graduate programs and serve their communities, whether locally, nationally, or globally; and"
255,73,"Be successful designer, manager, planner, and or entrepreneur in the practice of civil engineering profession serving local international or global communities."
256,74,Be effective in Engineering design and the practical application of engineering theory in accordance with high standards of ethics;
257,74,Be effective in communication skills and exhibits teamwork;
258,74,"Be successfully employed or accepted into graduate programs and serve their communities, whether locally, nationally, or globally; and"
259,74,"Be successful designer, manager, planner, and or entrepreneur in the practice of civil engineering profession serving local international or global communities."
260,75,Secure gainful employment in the hospitality industry;
261,75,Showcase professionalism and innovation in hospitality solutions;
262,75,Cultivate a lifelong learning mindset for hospitality advancements; and
263,75,"Demonstrate leadership, teamwork, and commitment in hospitality companies and organizations."
264,76,Secure gainful employment in the hospitality industry;
265,76,Showcase professionalism and innovation in hospitality solutions;
266,76,Cultivate a lifelong learning mindset for hospitality advancements; and
267,76,"Demonstrate leadership, teamwork, and commitment in hospitality companies and organizations."
268,77,Secure Gainful Employment in the Tourism Industry;
269,77,Showcase Professionalism and Innovation in Tourism Solutions;
270,77,Cultivate a Lifelong Learning Mindset for Tourism Advancements; and
271,77,"Demonstrate Leadership, Teamwork, and Commitment in Tourism Organizations;"
272,78,Secure Gainful Employment in the Tourism Industry;
273,78,Showcase Professionalism and Innovation in Tourism Solutions;
274,78,Cultivate a Lifelong Learning Mindset for Tourism Advancements; and
275,78,"Demonstrate Leadership, Teamwork, and Commitment in Tourism Organizations;"
276,79,Secure gainful employment in the hospitality industry;
277,79,Showcase professionalism and innovation in hospitality solutions;
278,79,Cultivate a lifelong learning mindset for hospitality advancements; and
279,79,"Demonstrate leadership, teamwork, and commitment in hospitality companies and organizations."
280,80,Be effective in Engineering design and the practical application of engineering theory in accordance with high standards of ethics;
281,80,Be effective in communication skills and exhibits teamwork;
282,80,"Be successfully employed or accepted into graduate programs and serve their communities, whether locally, nationally, or globally; and"
283,80,"Be successful designer, manager, planner, and or entrepreneur in the practice of civil engineering profession serving local international or global communities."
284,81,Be effective in Engineering design and the practical application of engineering theory in accordance with high standards of ethics;
285,81,Be effective in communication skills and exhibits teamwork;
286,81,"Be successfully employed or accepted into graduate programs and serve their communities, whether locally, nationally, or globally; and"
287,81,"Be successful designer, manager, planner, and or entrepreneur in the practice of civil engineering profession serving local international or global communities."
288,82,Be effective in Engineering design and the practical application of engineering theory in accordance with high standards of ethics;
289,82,Be effective in communication skills and exhibits teamwork;
290,82,"Be successfully employed or accepted into graduate programs and serve their communities, whether locally, nationally, or globally; and"
291,82,"Be successful designer, manager, planner, and or entrepreneur in the practice of civil engineering profession serving local international or global communities."
292,83,Be employed in the IT industry or established a technology startup company;
293,83,"Demonstrate professionalism, competence and innovativeness in utilizing and implementing IT solutions;"
294,83,Embark in lifelong learning or research to attune to the continuous innovation in the IT profession; and
295,83,"Exhibit leadership, teamwork, and commitment to their respective local or global organizations."
296,84,Be employed in the IT industry or established a technology startup company;
297,84,"Demonstrate professionalism, competence and innovativeness in utilizing and implementing IT solutions;"
298,84,Embark in lifelong learning or research to attune to the continuous innovation in the IT profession; and
299,84,"Exhibit leadership, teamwork, and commitment to their respective local or global organizations."
300,85,Be employed in the IT industry or established a technology startup company;
301,85,"Demonstrate professionalism, competence and innovativeness in utilizing and implementing IT solutions;"
302,85,Embark in lifelong learning or research to attune to the continuous innovation in the IT profession; and
303,85,"Exhibit leadership, teamwork, and commitment to their respective local or global organizations."
304,86,Practice as successful management accounting practitioners for the advancement of society;
305,86,Promote professionalism in the practice of management accounting profession; and
306,86,Pursue further studies in management accounting and related fields.
307,87,Practice as successful management accounting practitioners for the advancement of society;
308,87,Promote professionalism in the practice of management accounting profession; and
309,87,Pursue further studies in management accounting and related fields.
310,88,"Have knowledge, understanding, proficiencies, skills, competences, attitudes, and values to qualify and prepare them for assessment and certification as Officer-in-Charge of an Engineering Watch (OIC-EW) in a manned engine-room or designated duty engineer officer in a periodically unmanned engine-room on seagoing ships powered by main propulsion machinery of 750kw propulsion power or more; and"
311,88,Be qualified to pursue a professional career or advanced studies in a related maritime field of specialization.
312,89,"Provide and equip students with knowledge, understanding, proficiencies, skills, competences, attitudes, and values to qualify and prepare them for assessment and certification as Officer-in-Charge of a Navigational Watch (OIC-NW) on seagoing ships of 500 gross tonnage or more; and"
313,89,Produce graduates who are qualified to pursue a professional career or advanced studies in a related maritime field of specialization.
314,90,Be effective in Engineering design and the practical application of engineering theory in accordance with high standards of ethics;
315,90,Be effective in communication skills and exhibits teamwork;
316,90,"Be successfully employed or accepted into graduate programs and serve their communities, whether locally, nationally, or globally; and"
317,90,"Be successful designer, manager, planner, and or entrepreneur in the practice of civil engineering profession serving local international or global communities."
318,91,Be effective in Engineering design and the practical application of engineering theory in accordance with high standards of ethics;
319,91,Be effective in communication skills and exhibits teamwork;
320,91,"Be successfully employed or accepted into graduate programs and serve their communities, whether locally, nationally, or globally; and"
321,91,"Be successful designer, manager, planner, and or entrepreneur in the practice of civil engineering profession serving local international or global communities."
322,92,Graduates shall practice as professional Medical technologists and Medical Technology Scientists and administrators for the advancement of society; and
323,92,Graduates shall promote professionalism in the practice of medical technology and administration.
324,93,Graduates shall practice as nurse practitioners and administrators for the advancement of society; and
325,93,Graduates shall promote professionalism in the practice of nursing and administration.
326,94,Graduates shall practice as nurse practitioners and administrators for the advancement of society; and
327,94,Graduates shall promote professionalism in the practice of nursing and administration.
328,95,Practice as successful business administration practitioner for the advancement of society;
329,95,Promote professionalism in the practice of business profession; and
330,95,"Pursue further studies in business ,  management and related fields."
331,96,Practice as successful business administration practitioner for the advancement of society;
332,96,Promote professionalism in the practice of business profession; and
333,96,"Pursue further studies in business ,  management and related fields."
334,97,"Graduates shall have effective communication and teamwork skills, creativity and critical thinking;"
335,97,Graduates shall have skills and capacities to apply theories in various disciplines in accordance with high standards of ethics;
336,97,Graduates shall become successful professionals serving local and international communities; and
337,97,Graduates shall have lifelong learning skills to facilitate changes in themselves and in their society.
338,98,"Graduates shall have effective communication and teamwork skills, creativity and critical thinking;"
339,98,Graduates shall have skills and capacities to apply theories in various disciplines in accordance with high standards of ethics;
340,98,Graduates shall become successful professionals serving local and international communities; and
341,98,Graduates shall have lifelong learning skills to facilitate changes in themselves and in their society.
342,99,"Graduates shall have effective communication and teamwork skills, creativity and critical thinking;"
343,99,Graduates shall have skills and capacities to apply theories in various disciplines in accordance with high standards of ethics;
344,99,Graduates shall become successful professionals serving local and international communities; and
345,99,Graduates shall have lifelong learning skills to facilitate changes in themselves and in their society.
346,100,Secure Gainful Employment in the Tourism Industry;
347,100,Showcase Professionalism and Innovation in Tourism Solutions;
348,100,Cultivate a Lifelong Learning Mindset for Tourism Advancements; and
349,100,"Demonstrate Leadership, Teamwork, and Commitment in Tourism Organizations;"
350,101,Are gainfully employed in various healthcare facilities;
351,101,Can apply acquired knowledge and skills in various areas of specialization utilizing the nursing process;
352,101,Are engaged in evidence-based practice researches for the advancement of nursing profession;
353,101,Can speak with ease and confidence in organizational communication;
354,101,"Are engaged in various trainings, seminars, conferences and graduate programs as a tool for career advancement;"
355,101,"And can demonstrate safe nursing practice with social responsibility, just and humane regards to people and commitment to service."
356,102,"Demonstrate technical competence in the performance of clinical laboratory tests in aid of diagnosis, treatment, and management of diseases vis-à-vis biosafety and waste management"
357,102,Demonstrate analytical and critical thinking skills in the workplace
358,102,"Engage in the collection, analysis, and projection of health information for improving the health care management system"
359,102,"Demonstrate interpersonal skills, leadership qualities and ethical practice of the profession"
360,102,Apply research skills in the relevant areas of medical technology/ medical laboratory science practice
361,102,Participate in community-oriented activities
362,102,Engage in lifelong learning activities
363,102,Demonstrate effective teaching and communication skills
364,103,"Graduates that are competent to fulfill professional responsibilities as radiologic technologist either in the field of healthcare, education, research and entrepreneurship."
365,103,Graduates that are competent to learn continuously by engaging in life-long learning for their professional development.
366,103,Graduates that are responsive to the needs of the communities they serves.
367,105,Engage in professional activities for further career advancement in their field of specialization
368,105,"Exhibit intellectual, competencies such as critical, analytical, innovative and creative thinking"
369,105,Communicate effectively in a variety of settings armed with requisite abilities to anticipate and adapt swiftly to changing situations
370,105,Are well-rounded individuals who appreciate knowledge and the human experience from varying perspectives
371,105,"Are recognized members of the community whether on a local, national, or global scale"
372,105,Take leadership roles in advocacies that will contribute to national development
373,105,Exercise ethical principles in the practice of profession
374,105,Display ethical responsibility in the performance of their duties as members of the community
375,106,Engage in professional activities for further career advancement in their field of specialization
376,106,"Exhibit intellectual, competencies such as critical, analytical, innovative and creative thinking"
377,106,Communicate effectively in a variety of settings armed with requisite abilities to anticipate and adapt swiftly to changing situations
378,106,Are well-rounded individuals who appreciate knowledge and the human experience from varying perspectives
379,106,"Are recognized members of the community whether on a local, national, or global scale"
380,106,Take leadership roles in advocacies that will contribute to national development
